Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Argentina,ARG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.9995,0.9995,3.06325666666667,2.90062916666667,2.92330081890332,2.9036575,3.05431333333333,3.09564884920635,3.14416455988456,3.71010683052328,3.8962951544705,4.11013957621326,4.53693436018746,5.45935266465704,8.07527599281334,9.23318552472429,14.7581750873396,16.5627069251411,28.0949916666667,48.1478916666667,70.5391666666667,94.9907416666667,130.61655,296.258041666667
Argentina,ARG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,15,17.32,19.59,15.36,13.522,11.506,10.078,8.47,7.837,8.645,7.714,7.18,7.217,7.1,7.268,..,..,8.347,9.221,9.843,11.461,8.736,6.805,6.139
Argentina,ARG,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-9517286139.80497,-2005260142.26883,-2776050000,-878230000,-3448720000,-3954190000,-3098627065.63234,-4968924800.78457,-8334618540.64712,-3305612521.13841,-10367957946.0427,-9351930944.6815,-14269084338.7678,-8931688999.43165,-3144794108.85981,-10883760783.9318,-1473633407.02589,-10361231244.26,-9990788246.04858,-5126459686.19073,-3706950767.3516,-5114187941.51842,-13110763934.6583,-20904799580.0164
Argentina,ARG,Trade (% of GDP),NE.TRD.GNFS.ZS,22.6224447777343,21.8522554515453,41.7527243585642,40.6447480311085,40.692646108947,40.5512709706238,40.4334798719151,40.945170618571,40.4026733790382,34.0571269054879,34.9710132635696,35.2061549999644,30.5265423717108,29.3339290021037,28.4067936452275,22.4862260889792,26.0938878488799,25.2896011376779,30.7625359549926,32.6306150458499,30.203698807416,33.078689567466,31.5477080051071,26.6405121334437
Argentina,ARG,Gini index,SI.POV.GINI,51,53.3,53.8,51,48.5,47.8,46.4,46.3,45,43.8,43.7,42.7,41.4,41.1,41.8,..,42.3,41.4,41.7,43.3,42.7,42.4,40.7,..
Armenia,ARM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,3959424772.65728,4339529550.80371,4912347451.42022,5600076094.6952,6188084084.57212,7048227772.27278,7978593838.17516,9071661194.12856,9697605816.5624,8330243396.35924,8513508751.09706,8913643662.28574,9555426006.05632,9870755064.25618,10226102246.6276,10553337518.414,10574444193.4325,11367527508.1135,11958638938.496,12867495497.6469,11941035821.9185,12633615899.6682,14225451502.9981,15406163977.6894
Armenia,ARM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-0.790883768934757,3.1459046468502,1.06004929341667,4.7215533660534,6.96126135875795,0.638928002410097,2.89235662459004,4.40736089644516,8.94995335353387,3.40676682683801,8.17636138473952,7.65000807859294,2.55802007757907,5.78966778544651,2.98130868933672,3.73169119261693,-1.403607559009,0.969553268816138,2.52023382001638,1.44344660770698,1.21143577838465,7.18483629443371,8.64091108973855,1.98041877615554
Armenia,ARM,Real interest rate (%),FR.INR.RINR,33.3984630599644,21.7821520799662,18.347069280194,15.5169875894729,11.6248159998918,14.3161459394903,11.3814924574335,12.6947444611314,10.4349146525184,15.8708814402684,10.6076357898925,12.9197578932998,11.2811932906832,12.2168430436348,13.7812486601176,16.1800096730379,17.0423595080455,11.9973399575166,9.73397739946579,10.9595785635957,9.63911034033596,4.5475881609954,3.45742932246251,9.45938580104027
Armenia,ARM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,539.525833333333,555.078258333333,573.353333333333,578.762954545454,533.450833333334,457.686940629159,416.040369724542,342.079116208671,305.969400261936,363.283285606061,373.660466738817,372.500882448711,401.763975626916,409.625749270293,415.919789204938,477.918306576099,480.488150777966,482.716393849129,482.987946590235,480.44512876712,489.008858590915,503.769674961652,435.6661796523,392.476302158971
Armenia,ARM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,10.394,22.974,19.295,19.523,18.884,17.511,16.576,17.499,18.261,17.617,17.705,10.589,9.794,8.055,8.418,..,..
Armenia,ARM,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-104188500,-69868500,-110723793.820445,-122243974.97818,-247264860.111629,-286684171.830529,-443904925.628455,-658779848.027598,-913226598.537507,-707800329.856072,-501862328.992661,-434138222.389594,-473210732.062168,-315829524.319474,-377774323.990989,-155376061.98069,-263304563.14508,-223691166.786032,-259842543.000318,-233282275.296815,-85861619.2381023,-341851473.713828,-925913971.648405,-526510467.341275
Armenia,ARM,Trade (% of GDP),NE.TRD.GNFS.ZS,72.2333302273367,69.8642663925336,73.9845018432309,80.0513676022426,73.0706339919371,70.1397385835334,61.0301379818566,56.9750470853147,54.5423279613666,57.2742357441995,64.642975973633,69.4355736620453,75.9616759606704,77.5550481598824,75.778866962639,71.6820743427575,76.0779674593548,87.202376539837,92.473107021212,96.1141541288708,69.4888075396076,79.6698888228399,101.41077826094,119.714642963872
Armenia,ARM,Gini index,SI.POV.GINI,..,35.4,34.8,33,37.5,36,29.7,31.2,29.2,28,30,29.4,29.6,30.6,31.5,32.4,32.5,33.6,34.4,30,25.1,27.9,27.9,..
Aruba,ABW,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2735726915.78639,2850135060.01,2823202609.54275,2854554404.37331,3062757840.26596,3051023261.17582,3085420847.19517,3180746293.72871,3239137008.32128,2860878965.88948,2782678075.47099,2876433099.90676,2846495187.52904,3029567030.34403,2981500673.04632,2962907262.56983,3013858155.98809,3226290954.32065,3303627899.75438,3229876376.13191,2383266968.91162,2958411905.44105,3210407008.76028,3347289755.67821
Aruba,ABW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.04402131190513,2.88360430316264,3.31524678585423,3.65636507938418,2.52912946932762,3.39778677828806,3.60802438784541,5.39256784475517,8.95598705177784,-2.13542872046937,2.07814071860787,4.31629742195203,0.627471992893373,-2.37206524252261,0.421440918881214,0.474763597342641,-0.931195987079561,-1.02828178762012,3.62604141352961,4.25746204335428,..,..,..,..
Aruba,ABW,Real interest rate (%),FR.INR.RINR,10.9174500760991,15.885948876168,6.57378500312943,7.42457507462851,6.60450953637949,5.64637297616821,5.81310509823675,4.97600231726435,5.9825479431511,8.84604657019821,11.6661307585963,4.80197433814387,8.20087500684476,10.7097087655441,3.21386882031282,0.15792476968271,7.98285170979736,9.78928665665114,2.45304531465618,-0.299776140992784,7.82593470132022,11.8970840161137,2.85265433875112,-0.852277920562397
Aruba,ABW,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79
Aruba,ABW,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6.92,6.9,..,..,..,..,..,5.71,..,..,10.6,8.9,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,130558659.217877,263240223.463687,-338659217.877095,-163016759.776536,97541899.4413408,198934471.098667,-233138804.458988,510558659.217877,-16089385.4748603,12122905.027933,-184022346.368715,-485027932.960894,317486033.519553,-222873555.131858,-243442685.619384,37200481.5606372,-27969592.9352082,-79282916.7266621,-113691918.69307,134984404.01532,-141023762.02536,-138400826.424611,-124694278.134545,..
